time,title,description
3:10 pm,Day 1 Wrap Up + Day 2 Overview + EPCOT Overview,
4:15 pm,Author Party,"Join us for a magical evening during our Author Party at EPCOT! Soar on Soarin', grab dinner at EPCOTâs Food and Wine Festival, and explore the OG Spaceship Earth. Then join Pluralsight's crew to cap the night off at 7:30 PM with Disney-themed desserts, an open bar, and fireworks. (Shuttles will be taking Authors to EPCOT from the Drury hotel at 4:30 PM and back to Drury hotel at 9:45 PM.)"
6:00 am,Breakfast,"Begin the day with scrambled eggs, sausage, fresh fruit, oatmeal, biscuits and gravy, and more with Drury Hotel's complimentary hot breakfast. Offered 6 am - 10 am, enjoy breakfast on your own time as you get ready for a day at Author Summit!"
9:00 am,Welcome Day Two,
9:10 am,Content Production & Delivery Updates,
9:25 am,Content Production & Delivery Q&A,"Author Q&A with Greg Shields, Jacob Branch, Melissa Thoreson, Mike Bunch, and Samantha Eicholtz."
9:45 am,Break,
10:00 am,Video Skills: DaVinci Resolve and OBS Fundamentals,Video editing is easier and faster when you have better tools. This session will teach you how to capture screen and F2C video in OBS Studio and edit efficiently in DaVinci Resolve.
10:00 am,Combining Taste and Technology for Face-To-Camera,Master face-to-camera techniques in this hands-on workshop. Learn essential camera and lighting settings for optimal results. Bring your own gear for personalized adjustments. Ideal for content creators looking to enhance their visual quality.
10:00 am,Mastering Slide Design: Best Practices for Engaging Presentations,"Learn how to transform your slides with effective design principles. This workshop will equip you with practical tips to improve your PowerPoint and Keynote-based course videos, ensuring your content is clear, engaging, and impactful."
10:00 am,Making Friends with the Camera: Practical Tips for Confident Presentation,Want to make your content more engaging? This session will teach you how to create engaging face to camera content using practical methods that build confidence in your delivery.
11:00 am,How to Be More Comfortable and Confident On Camera,"In this fast-paced session, explore a collection of practical tips and tricks to improve face-to-camera moments."
11:00 am,Perfecting Your Home Office Audio: Practical Tips for Top Notch Recordings,"Learn how to set up your home office for optimal audio recording. In this 60-minute workshop, you'll get practical tips on using company-recommended hardware, configuring your space, and identifying common audio issues to ensure clear and professional recordings for your online courses."
11:00 am,Video Skills: DaVinci Resolve Building on the Fundamentals,Video editing is easier and faster when you have better tools. This session will teach you to go beyond the basics of editing in DaVinci Resolve with advanced techniques and motion graphics templates.
11:00 am,Combining Taste and Technology for Face-To-Camera,Master face-to-camera techniques in this hands-on workshop. Learn essential camera and lighting settings for optimal results. Bring your own gear for personalized adjustments. Ideal for content creators looking to enhance their visual quality.
12:00 pm,Lunch,"It's time for lunch! Feast on soup, salad, and a build-your-own sandwich spread with a variety of artisan meats and cheeses. Sides include: kettle chips, assorted cookies, and double fudge brownies."
1:00 pm,Develop a Photographerâs Eye - AKA What You Learn in Film School,"This session will teach you how to gain a âphotographerâs eyeâ, youâll be trained to look at face-to-camera footage from the perspective of film school graduates."
1:00 pm,How to Be More Comfortable and Confident On Camera,"In this fast-paced session, explore a collection of practical tips and tricks to improve face-to-camera moments."
1:00 pm,Voiceover Made Easy,"If youâd like to spend less time editing voiceover mistakes from your clips, this session is for you. You will learn how to optimize your vocal delivery and avoid common mistakes that lead to extra time and energy spent editing clips."
2:00 pm,SEO with AI Tools: Maximizing Your Courseâs Reach,"Ensure your content reaches as many learners as possible with AI-driven SEO strategies. In this comprehensive session, you'll learn how to leverage AI tools to enhance your course's visibility, attract more viewers, and optimize your content for search engines."
2:00 pm,"Building Better Labs: Guidelines, Examples, and Pro Tips","Creating a lab can be an overwhelming experience because there are so many pieces that have to work in harmony: instructions, code and/or application, and the overall presentation of the lab. In this session, whether youâre new or experienced, youâll learn the skills to create your very own high quality lab."
2:00 pm,Author Trivia,"Take a break from the brainpower-packed schedule and join Scott Smith and Adam Mumma for some pub(ish) trivia. (Less pub, extra fun.) Adam and Scott have been dominating the pub trivia scene (according to them, anyway), so we'll host two trivia sessions covering random topics, mostly non-Pluralsight stuff! (Although they might sneak in a Pluralsight question or two just to keep you on your toes.) Come wow them with your expertise and maybe even snag bragging rights from these two highly-acclaimed pub trivia-ists."
3:00 pm,Author Summit Wrap Up,
